bus_id,parada,tiempo_atraso,costo_multa
0,Parada 3 (Intermedia),147.99488096914865,1000
0,Parada 4 (SAN VICENTE),307.78592542656406,1000
1,Parada 2 (Intermedia),238.4485520960386,1000
1,Parada 3 (Intermedia),294.28946509190973,1000
1,Parada 4 (SAN VICENTE),503.4758820037259,1000
2,Parada 3 (Intermedia),114.98350108285467,1000
2,Parada 4 (SAN VICENTE),205.74061133401847,1000
3,Parada 2 (Intermedia),5.273829203084006,1000
3,Parada 3 (Intermedia),134.08597132139903,1000
3,Parada 4 (SAN VICENTE),168.78467009679116,1000
4,Parada 2 (Intermedia),45.762270211214854,1000
4,Parada 3 (Intermedia),55.642000217807436,1000
5,Parada 2 (Intermedia),57.14878024433119,1000
5,Parada 3 (Intermedia),117.6107834193026,1000
5,Parada 4 (SAN VICENTE),391.70369202380243,1000
7,Parada 2 (Intermedia),229.7179724410953,1000
7,Parada 3 (Intermedia),364.80493474681316,1000
7,Parada 4 (SAN VICENTE),264.85773045764836,1000
8,Parada 2 (Intermedia),12.35399483080073,1000
8,Parada 4 (SAN VICENTE),86.2324666175964,1000
9,Parada 2 (Intermedia),173.76495198888279,1000
9,Parada 3 (Intermedia),293.9958814855536,1000
9,Parada 4 (SAN VICENTE),370.9526235652793,1000
12,Parada 2 (Intermedia),233.62075022358113,1000
12,Parada 3 (Intermedia),268.0530050610196,1000
12,Parada 4 (SAN VICENTE),185.65947555004823,1000
13,Parada 3 (Intermedia),144.98511082954974,1000
14,Parada 2 (Intermedia),167.3416809679511,1000
14,Parada 3 (Intermedia),318.0981768004476,1000
14,Parada 4 (SAN VICENTE),371.88212941496386,1000
15,Parada 2 (Intermedia),98.87861698119923,1000
15,Parada 3 (Intermedia),62.7996142465563,1000
17,Parada 2 (Intermedia),23.41246864716959,1000
17,Parada 3 (Intermedia),183.03395990132958,1000
17,Parada 4 (SAN VICENTE),418.28310726352174,1000
22,Parada 3 (Intermedia),3.2754692489088484,1000
22,Parada 4 (SAN VICENTE),138.87773059508618,1000
23,Parada 2 (Intermedia),212.49517215417836,1000
23,Parada 3 (Intermedia),180.28904944483838,1000
23,Parada 4 (SAN VICENTE),325.20783971643687,1000
24,Parada 2 (Intermedia),273.72407162042146,1000
24,Parada 3 (Intermedia),211.84413020610737,1000
24,Parada 4 (SAN VICENTE),124.68356219106863,1000
25,Parada 2 (Intermedia),227.91135269002007,1000
25,Parada 3 (Intermedia),85.94545936953364,1000
27,Parada 2 (Intermedia),3.266375309209252,1000
27,Parada 3 (Intermedia),174.19331804235117,1000
27,Parada 4 (SAN VICENTE),328.1990878054057,1000
28,Parada 2 (Intermedia),20.54663189158964,1000
29,Parada 4 (SAN VICENTE),108.21850037528202,1000
30,Parada 4 (SAN VICENTE),132.45442303322488,1000
31,Parada 2 (Intermedia),162.3543823821019,1000
31,Parada 3 (Intermedia),328.04328330446515,1000
31,Parada 4 (SAN VICENTE),313.4961132782446,1000
32,Parada 2 (Intermedia),50.38150461935584,1000
32,Parada 3 (Intermedia),172.7136616506068,1000
32,Parada 4 (SAN VICENTE),99.89662709131517,1000
34,Parada 3 (Intermedia),110.97448657256973,1000
34,Parada 4 (SAN VICENTE),279.9735884518632,1000
35,Parada 2 (Intermedia),202.18202458863743,1000
35,Parada 3 (Intermedia),262.99899820337305,1000
35,Parada 4 (SAN VICENTE),348.5375917522797,1000
36,Parada 2 (Intermedia),94.1639236303381,1000
36,Parada 3 (Intermedia),19.693172780691384,1000
38,Parada 2 (Intermedia),83.25391092475184,1000
38,Parada 3 (Intermedia),46.04296114664612,1000
38,Parada 4 (SAN VICENTE),229.58294567365374,1000
39,Parada 2 (Intermedia),195.980098600794,1000
39,Parada 3 (Intermedia),373.5264991519616,1000
39,Parada 4 (SAN VICENTE),542.5746144792502,1000
40,Parada 2 (Intermedia),208.08650366125948,1000
40,Parada 3 (Intermedia),307.1070479686714,1000
40,Parada 4 (SAN VICENTE),168.64010248668637,1000
41,Parada 2 (Intermedia),46.5141546000923,1000
41,Parada 3 (Intermedia),120.60106045040811,1000
41,Parada 4 (SAN VICENTE),66.22950447599942,1000
42,Parada 2 (Intermedia),183.798583395077,1000
42,Parada 3 (Intermedia),268.44918117957786,1000
42,Parada 4 (SAN VICENTE),283.2985603303132,1000
43,Parada 2 (Intermedia),180.79124758889884,1000
43,Parada 3 (Intermedia),79.55351791240537,1000
43,Parada 4 (SAN VICENTE),153.96922794934653,1000
44,Parada 2 (Intermedia),56.637599410463736,1000
44,Parada 3 (Intermedia),66.06651602340571,1000
45,Parada 2 (Intermedia),114.1022635499794,1000
45,Parada 3 (Intermedia),90.15951037046034,1000
45,Parada 4 (SAN VICENTE),279.46767416053626,1000
47,Parada 2 (Intermedia),59.64554677906199,1000
47,Parada 3 (Intermedia),75.1463790736234,1000
47,Parada 4 (SAN VICENTE),244.5648987808563,1000
48,Parada 2 (Intermedia),50.30717823672967,1000
48,Parada 3 (Intermedia),120.64763280706393,1000
48,Parada 4 (SAN VICENTE),180.11961050131868,1000
49,Parada 2 (Intermedia),223.50793398369933,1000
49,Parada 3 (Intermedia),261.4756166176994,1000
49,Parada 4 (SAN VICENTE),431.3257576129472,1000
50,Parada 2 (Intermedia),45.28487829459846,1000
51,Parada 2 (Intermedia),68.43080909095806,1000
51,Parada 4 (SAN VICENTE),148.49056450292846,1000
53,Parada 2 (Intermedia),187.13243878048524,1000
53,Parada 3 (Intermedia),82.13752771713189,1000
53,Parada 4 (SAN VICENTE),31.266268053339445,1000
54,Parada 2 (Intermedia),64.62425806528336,1000
55,Parada 2 (Intermedia),233.5260323733528,1000
55,Parada 3 (Intermedia),325.5114524551391,1000
55,Parada 4 (SAN VICENTE),358.60967882646946,1000
56,Parada 2 (Intermedia),187.98318914059928,1000
56,Parada 3 (Intermedia),47.28381512687338,1000
56,Parada 4 (SAN VICENTE),365.089905988003,1000
58,Parada 4 (SAN VICENTE),18.799069993990997,1000
59,Parada 4 (SAN VICENTE),74.9271921116233,1000
60,Parada 2 (Intermedia),60.46650414571923,1000
60,Parada 4 (SAN VICENTE),60.53987155434879,1000
61,Parada 2 (Intermedia),90.82636969791201,1000
61,Parada 4 (SAN VICENTE),104.30648792175634,1000
62,Parada 3 (Intermedia),24.574922305539076,1000
62,Parada 4 (SAN VICENTE),22.626911514773383,1000
67,Parada 2 (Intermedia),68.22983585616748,1000
67,Parada 3 (Intermedia),128.21416783361929,1000
67,Parada 4 (SAN VICENTE),49.39528984100616,1000
69,Parada 2 (Intermedia),131.11934236541856,1000
69,Parada 3 (Intermedia),66.47808135307423,1000
69,Parada 4 (SAN VICENTE),173.4648300276458,1000
71,Parada 2 (Intermedia),190.86871189946396,1000
71,Parada 3 (Intermedia),319.7291585537605,1000
71,Parada 4 (SAN VICENTE),352.96598136075045,1000
72,Parada 2 (Intermedia),34.314279282756615,1000
73,Parada 2 (Intermedia),123.33437962381868,1000
74,Parada 2 (Intermedia),101.25507147811732,1000
74,Parada 3 (Intermedia),147.67078170266905,1000
74,Parada 4 (SAN VICENTE),284.61983846013027,1000
75,Parada 2 (Intermedia),23.979162287148938,1000
75,Parada 3 (Intermedia),164.64012048955192,1000
75,Parada 4 (SAN VICENTE),180.54588146667083,1000
76,Parada 2 (Intermedia),185.3815165831693,1000
76,Parada 3 (Intermedia),175.85713686450617,1000
76,Parada 4 (SAN VICENTE),383.39665028337186,1000
77,Parada 2 (Intermedia),19.35640016958496,1000
77,Parada 4 (SAN VICENTE),24.95925142885244,1000
78,Parada 2 (Intermedia),125.5522158743479,1000
78,Parada 3 (Intermedia),181.9638466135948,1000
78,Parada 4 (SAN VICENTE),402.6287830570582,1000
79,Parada 2 (Intermedia),37.9055445088743,1000
79,Parada 3 (Intermedia),116.81635564411408,1000
80,Parada 2 (Intermedia),253.950344877514,1000
80,Parada 3 (Intermedia),274.5371241557368,1000
80,Parada 4 (SAN VICENTE),188.632075621681,1000
81,Parada 2 (Intermedia),89.52510105696274,1000
81,Parada 3 (Intermedia),276.55904195566836,1000
81,Parada 4 (SAN VICENTE),441.30356840139575,1000
82,Parada 2 (Intermedia),182.79808869953558,1000
82,Parada 3 (Intermedia),87.4706055597635,1000
82,Parada 4 (SAN VICENTE),211.12891657811997,1000
84,Parada 3 (Intermedia),11.865126144446549,1000
84,Parada 4 (SAN VICENTE),209.5960733460015,1000
85,Parada 2 (Intermedia),42.330140194309934,1000
85,Parada 3 (Intermedia),233.18493045414652,1000
85,Parada 4 (SAN VICENTE),88.71568952786038,1000
86,Parada 3 (Intermedia),144.558498718201,1000
86,Parada 4 (SAN VICENTE),135.6943409370797,1000
88,Parada 2 (Intermedia),223.02700178293162,1000
88,Parada 3 (Intermedia),343.7710014135955,1000
88,Parada 4 (SAN VICENTE),466.85667543532327,1000
89,Parada 3 (Intermedia),49.642059472287656,1000
89,Parada 4 (SAN VICENTE),55.773439823089575,1000
90,Parada 2 (Intermedia),34.0296486225634,1000
90,Parada 3 (Intermedia),174.44514359807363,1000
90,Parada 4 (SAN VICENTE),323.55876982076734,1000
91,Parada 2 (Intermedia),129.18712787629192,1000
91,Parada 4 (SAN VICENTE),136.4137426276211,1000
92,Parada 2 (Intermedia),72.64616226044745,1000
92,Parada 3 (Intermedia),13.359899569310073,1000
92,Parada 4 (SAN VICENTE),236.53138065949315,1000
93,Parada 2 (Intermedia),53.77722866719705,1000
93,Parada 3 (Intermedia),24.597603511894704,1000
94,Parada 2 (Intermedia),148.4339984097969,1000
94,Parada 3 (Intermedia),178.2841413739152,1000
94,Parada 4 (SAN VICENTE),73.85159446524631,1000
95,Parada 4 (SAN VICENTE),27.831651319815137,1000
97,Parada 4 (SAN VICENTE),146.62797122085613,1000
98,Parada 2 (Intermedia),139.3783024266886,1000
98,Parada 3 (Intermedia),169.9787203314263,1000
98,Parada 4 (SAN VICENTE),409.1030174766638,1000
99,Parada 2 (Intermedia),84.64167396266566,1000
99,Parada 4 (SAN VICENTE),73.97489980029059,1000
100,Parada 2 (Intermedia),30.04451326974231,1000
100,Parada 3 (Intermedia),245.46884276937635,1000
100,Parada 4 (SAN VICENTE),345.17192095513747,1000
101,Parada 2 (Intermedia),40.29645972831349,1000
101,Parada 3 (Intermedia),210.97856223161216,1000
101,Parada 4 (SAN VICENTE),214.11127803342242,1000
102,Parada 2 (Intermedia),111.53219730811543,1000
102,Parada 3 (Intermedia),46.517412679946574,1000
103,Parada 2 (Intermedia),197.61172742828057,1000
103,Parada 3 (Intermedia),176.27584539625968,1000
103,Parada 4 (SAN VICENTE),179.51343870195706,1000
104,Parada 2 (Intermedia),20.351411725729122,1000
104,Parada 3 (Intermedia),187.5573607118131,1000
104,Parada 4 (SAN VICENTE),122.49316562547756,1000
105,Parada 2 (Intermedia),70.98770104419964,1000
105,Parada 4 (SAN VICENTE),96.82433753668738,1000
106,Parada 3 (Intermedia),155.6900541092764,1000
106,Parada 4 (SAN VICENTE),254.21823291775945,1000
108,Parada 3 (Intermedia),73.27389750583097,1000
108,Parada 4 (SAN VICENTE),122.10883655877842,1000
109,Parada 2 (Intermedia),232.57876864152786,1000
109,Parada 3 (Intermedia),171.13150751794456,1000
109,Parada 4 (SAN VICENTE),92.1456072316796,1000
110,Parada 2 (Intermedia),75.2591053822398,1000
110,Parada 3 (Intermedia),231.37689399326337,1000
110,Parada 4 (SAN VICENTE),412.37301697758085,1000
111,Parada 2 (Intermedia),73.66096913261572,1000
113,Parada 2 (Intermedia),70.38345067662885,1000
113,Parada 3 (Intermedia),16.361022689918173,1000
113,Parada 4 (SAN VICENTE),120.86138635670068,1000
114,Parada 4 (SAN VICENTE),128.76981762716605,1000
117,Parada 2 (Intermedia),66.48687496347702,1000
117,Parada 3 (Intermedia),137.61430096374534,1000
117,Parada 4 (SAN VICENTE),367.90944032267726,1000
118,Parada 2 (Intermedia),202.261512082463,1000
118,Parada 3 (Intermedia),436.45748522177746,1000
118,Parada 4 (SAN VICENTE),343.4873930544418,1000
119,Parada 2 (Intermedia),20.449411501918803,1000
119,Parada 3 (Intermedia),83.34544459370954,1000
119,Parada 4 (SAN VICENTE),102.83085241106164,1000
120,Parada 3 (Intermedia),124.35998187595396,1000
120,Parada 4 (SAN VICENTE),237.385868263038,1000
121,Parada 2 (Intermedia),130.98145287238003,1000
121,Parada 3 (Intermedia),186.62752225497388,1000
121,Parada 4 (SAN VICENTE),193.5795649227366,1000
122,Parada 3 (Intermedia),104.5068467870442,1000
122,Parada 4 (SAN VICENTE),356.42444992242963,1000
123,Parada 2 (Intermedia),78.2309074106015,1000
123,Parada 3 (Intermedia),1.5530597012548242,1000
124,Parada 2 (Intermedia),98.6964280285465,1000
124,Parada 3 (Intermedia),284.2478782788967,1000
124,Parada 4 (SAN VICENTE),496.52668562745384,1000
126,Parada 4 (SAN VICENTE),37.40905191749334,1000
127,Parada 2 (Intermedia),40.4986326960352,1000
127,Parada 3 (Intermedia),121.67473947642429,1000
128,Parada 2 (Intermedia),53.43603784608422,1000
128,Parada 3 (Intermedia),272.61592809393187,1000
128,Parada 4 (SAN VICENTE),420.7199030181946,1000
129,Parada 2 (Intermedia),140.0971631182765,1000
129,Parada 3 (Intermedia),149.75671708105074,1000
129,Parada 4 (SAN VICENTE),102.04209031072969,1000
131,Parada 2 (Intermedia),146.06776961591095,1000
131,Parada 3 (Intermedia),251.5456686522084,1000
131,Parada 4 (SAN VICENTE),356.75034797459375,1000
132,Parada 4 (SAN VICENTE),118.5760396100377,1000
133,Parada 2 (Intermedia),219.55964327119,1000
133,Parada 3 (Intermedia),326.51807774994813,1000
133,Parada 4 (SAN VICENTE),186.17655804462265,1000
135,Parada 2 (Intermedia),89.79000170883955,1000
135,Parada 3 (Intermedia),12.446083597518736,1000
135,Parada 4 (SAN VICENTE),54.03985901657143,1000
137,Parada 2 (Intermedia),210.28468052265816,1000
137,Parada 3 (Intermedia),292.8995193985611,1000
137,Parada 4 (SAN VICENTE),362.92717649572296,1000
139,Parada 2 (Intermedia),27.28659657665412,1000
139,Parada 4 (SAN VICENTE),58.576001294044545,1000
140,Parada 2 (Intermedia),85.04340067518933,1000
141,Parada 3 (Intermedia),163.75782556187187,1000
141,Parada 4 (SAN VICENTE),256.0188346665818,1000
142,Parada 2 (Intermedia),211.4283667782438,1000
142,Parada 3 (Intermedia),471.152971766438,1000
142,Parada 4 (SAN VICENTE),644.2970888338023,1000
143,Parada 2 (Intermedia),90.18069603839831,1000
143,Parada 3 (Intermedia),160.51732706285839,1000
143,Parada 4 (SAN VICENTE),309.5898865125346,1000
144,Parada 2 (Intermedia),222.05844948254526,1000
144,Parada 3 (Intermedia),413.7521775885107,1000
144,Parada 4 (SAN VICENTE),443.9380141541187,1000
145,Parada 4 (SAN VICENTE),143.71362744635553,1000
146,Parada 2 (Intermedia),6.217377076653065,1000
147,Parada 2 (Intermedia),10.96970109648828,1000
147,Parada 4 (SAN VICENTE),190.22697257522668,1000
148,Parada 2 (Intermedia),54.17942567061982,1000
149,Parada 2 (Intermedia),21.771988717024215,1000
149,Parada 4 (SAN VICENTE),11.530454717940302,1000
150,Parada 2 (Intermedia),250.7469813564676,1000
150,Parada 3 (Intermedia),318.63351512223016,1000
150,Parada 4 (SAN VICENTE),295.26036382699385,1000
151,Parada 2 (Intermedia),45.161277059145505,1000
151,Parada 3 (Intermedia),101.35911013529403,1000
151,Parada 4 (SAN VICENTE),166.63384169727215,1000
152,Parada 2 (Intermedia),190.75407103760517,1000
152,Parada 3 (Intermedia),169.33501949020138,1000
152,Parada 4 (SAN VICENTE),161.37727265499416,1000
154,Parada 4 (SAN VICENTE),101.41203415526252,1000
157,Parada 3 (Intermedia),92.15903034007351,1000
157,Parada 4 (SAN VICENTE),153.9889198843739,1000
159,Parada 2 (Intermedia),152.27734058970236,1000
159,Parada 3 (Intermedia),207.99013885454042,1000
159,Parada 4 (SAN VICENTE),205.94466579194705,1000
160,Parada 3 (Intermedia),59.57032492609869,1000
160,Parada 4 (SAN VICENTE),189.6202818370948,1000
162,Parada 2 (Intermedia),202.9873093686765,1000
162,Parada 3 (Intermedia),54.20199840508576,1000
162,Parada 4 (SAN VICENTE),218.12741092512442,1000
163,Parada 4 (SAN VICENTE),88.5893427466217,1000
164,Parada 2 (Intermedia),10.073385602547205,1000
165,Parada 2 (Intermedia),232.99044732526818,1000
165,Parada 3 (Intermedia),201.30858298034582,1000
165,Parada 4 (SAN VICENTE),137.7240010493988,1000
166,Parada 4 (SAN VICENTE),115.55211710133881,1000
167,Parada 2 (Intermedia),133.09447463533434,1000
167,Parada 3 (Intermedia),45.91083611395152,1000
167,Parada 4 (SAN VICENTE),25.254667266868637,1000
168,Parada 2 (Intermedia),92.09578823362244,1000
168,Parada 3 (Intermedia),290.34020641137613,1000
168,Parada 4 (SAN VICENTE),235.59511402682983,1000
169,Parada 2 (Intermedia),151.01198470361123,1000
169,Parada 3 (Intermedia),186.75594437793188,1000
169,Parada 4 (SAN VICENTE),137.80853955367638,1000
170,Parada 2 (Intermedia),235.8176849771553,1000
170,Parada 3 (Intermedia),252.85825808532536,1000
170,Parada 4 (SAN VICENTE),230.03121483726136,1000
171,Parada 2 (Intermedia),128.10849073423014,1000
171,Parada 3 (Intermedia),78.342521439743,1000
172,Parada 2 (Intermedia),8.562223111584899,1000
172,Parada 3 (Intermedia),25.667187578015728,1000
172,Parada 4 (SAN VICENTE),122.7383328556316,1000
174,Parada 2 (Intermedia),9.911868390190648,1000
174,Parada 3 (Intermedia),92.81070945496322,1000
174,Parada 4 (SAN VICENTE),167.01861397677567,1000
175,Parada 2 (Intermedia),96.05915596212435,1000
176,Parada 2 (Intermedia),114.01190995120851,1000
176,Parada 3 (Intermedia),13.85917661235726,1000
176,Parada 4 (SAN VICENTE),178.136391551423,1000
177,Parada 2 (Intermedia),138.66827497458144,1000
177,Parada 3 (Intermedia),67.26947631180519,1000
177,Parada 4 (SAN VICENTE),101.4896103443316,1000
178,Parada 2 (Intermedia),2.9839158151007723,1000
178,Parada 3 (Intermedia),38.15222966790316,1000
178,Parada 4 (SAN VICENTE),115.34572912583826,1000
179,Parada 3 (Intermedia),72.20878863151302,1000
179,Parada 4 (SAN VICENTE),23.575453251192812,1000
181,Parada 2 (Intermedia),173.37654160275997,1000
181,Parada 3 (Intermedia),242.0843770261854,1000
181,Parada 4 (SAN VICENTE),135.44673747904017,1000
182,Parada 4 (SAN VICENTE),104.17732817225624,1000
183,Parada 2 (Intermedia),28.68927330125007,1000
183,Parada 3 (Intermedia),108.91247746338195,1000
183,Parada 4 (SAN VICENTE),145.73081610824738,1000
184,Parada 2 (Intermedia),29.57937154357205,1000
184,Parada 3 (Intermedia),149.71582834902802,1000
184,Parada 4 (SAN VICENTE),178.897621663491,1000
185,Parada 2 (Intermedia),196.46815447078552,1000
185,Parada 3 (Intermedia),412.30221113697917,1000
185,Parada 4 (SAN VICENTE),502.8943796410167,1000
186,Parada 4 (SAN VICENTE),64.88662077616027,1000
188,Parada 2 (Intermedia),212.29807017100393,1000
188,Parada 3 (Intermedia),155.50146833615145,1000
188,Parada 4 (SAN VICENTE),154.86476557690185,1000
190,Parada 2 (Intermedia),205.3584972363169,1000
190,Parada 3 (Intermedia),196.4718822317518,1000
190,Parada 4 (SAN VICENTE),239.13371327529603,1000
191,Parada 3 (Intermedia),55.41041201970074,1000
191,Parada 4 (SAN VICENTE),124.11492390623607,1000
192,Parada 2 (Intermedia),61.04361299588345,1000
192,Parada 3 (Intermedia),268.86551833854173,1000
192,Parada 4 (SAN VICENTE),550.7900424859981,1000
193,Parada 2 (Intermedia),70.29230596458365,1000
193,Parada 3 (Intermedia),255.25677633099258,1000
193,Parada 4 (SAN VICENTE),226.08673149782408,1000
194,Parada 2 (Intermedia),132.35142060896032,1000
194,Parada 3 (Intermedia),157.95222046606068,1000
194,Parada 4 (SAN VICENTE),15.104942540405318,1000
196,Parada 2 (Intermedia),57.48619411927939,1000
196,Parada 4 (SAN VICENTE),39.726062394925975,1000
197,Parada 2 (Intermedia),140.12795596687647,1000
197,Parada 3 (Intermedia),359.11660245258827,1000
197,Parada 4 (SAN VICENTE),281.4720631248056,1000
199,Parada 2 (Intermedia),121.75252737828123,1000
199,Parada 3 (Intermedia),226.47692038241075,1000
199,Parada 4 (SAN VICENTE),347.73549437584006,1000
200,Parada 2 (Intermedia),68.61179795046337,1000
200,Parada 3 (Intermedia),82.18387202646409,1000
200,Parada 4 (SAN VICENTE),269.343792810585,1000
201,Parada 2 (Intermedia),109.76845921984932,1000
201,Parada 3 (Intermedia),282.64301606190566,1000
201,Parada 4 (SAN VICENTE),371.0626083902753,1000
203,Parada 3 (Intermedia),77.66936361671833,1000
203,Parada 4 (SAN VICENTE),254.64987578964792,1000
204,Parada 2 (Intermedia),161.06578038867156,1000
204,Parada 3 (Intermedia),125.7733712837653,1000
205,Parada 2 (Intermedia),54.044243581432966,1000
205,Parada 3 (Intermedia),74.68490890222893,1000
205,Parada 4 (SAN VICENTE),146.53449793158507,1000
206,Parada 2 (Intermedia),32.44748523432645,1000
206,Parada 3 (Intermedia),19.221676360073616,1000
206,Parada 4 (SAN VICENTE),195.28615327982698,1000
207,Parada 2 (Intermedia),143.70153813446814,1000
207,Parada 3 (Intermedia),355.20070444836165,1000
207,Parada 4 (SAN VICENTE),434.1966512403451,1000
208,Parada 2 (Intermedia),53.48167666183144,1000
208,Parada 3 (Intermedia),222.2227823955618,1000
